arrival_date,room_class,price_per_night,lead_time,is_holiday,is_weekend
20ssss8-0ssss-0ssss,ssss,429.09,3,ssss,0
20ssss8-0ssss-0ssss,ssss,43ssss.3ssss,5,ssss,0
20ssss8-0ssss-0ssss,ssss,454.69,26,ssss,0
20ssss8-0ssss-0ssss,ssss,455.8,27,ssss,0
20ssss8-0ssss-0ssss,ssss,459.ssss4,30,ssss,0
20ssss8-0ssss-0ssss,ssss,46ssss.37,32,ssss,0
20ssss8-0ssss-0ssss,ssss,463.59,34,ssss,0
20ssss8-0ssss-0ssss,ssss,464.7,35,ssss,0
20ssss8-0ssss-0ssss,ssss,466.93,37,ssss,0
20ssss8-0ssss-0ssss,ssss,472.5,42,ssss,0
20ssss8-0ssss-0ssss,ssss,48ssss.4,50,ssss,0
20ssss8-0ssss-0ssss,ssss,505.89,72,ssss,0
20ssss8-0ssss-0ssss,ssss,532.6,96,ssss,0
20ssss8-0ssss-0ssss,ssss,576.0ssss,ssss35,ssss,0
20ssss8-0ssss-0ssss,2,279.42,8,ssss,0
20ssss8-0ssss-0ssss,2,284.43,ssss5,ssss,0
20ssss8-0ssss-0ssss,2,285.86,ssss7,ssss,0
20ssss8-0ssss-0ssss,2,288.72,2ssss,ssss,0
20ssss8-0ssss-0ssss,2,289.44,22,ssss,0
20ssss8-0ssss-0ssss,2,289.44,22,ssss,0
20ssss8-0ssss-0ssss,2,289.44,22,ssss,0
20ssss8-0ssss-0ssss,2,290.87,24,ssss,0
20ssss8-0ssss-0ssss,2,299.45,36,ssss,0
20ssss8-0ssss-0ssss,2,302.32,40,ssss,0
20ssss8-0ssss-0ssss,2,309.47,50,ssss,0
20ssss8-0ssss-0ssss,2,3ssss3.05,55,ssss,0
20ssss8-0ssss-0ssss,2,3ssss7.34,6ssss,ssss,0
20ssss8-0ssss-0ssss,2,320.2,65,ssss,0
20ssss8-0ssss-0ssss,2,322.35,68,ssss,0
20ssss8-0ssss-0ssss,2,323.07,69,ssss,0
20ssss8-0ssss-0ssss,2,325.93,73,ssss,0
20ssss8-0ssss-0ssss,2,330.94,80,ssss,0
20ssss8-0ssss-0ssss,2,354.55,ssssssss3,ssss,0
20ssss8-0ssss-0ssss,2,368.86,ssss33,ssss,0
20ssss8-0ssss-0ssss,3,ssss69.44,5,ssss,0
20ssss8-0ssss-0ssss,3,ssss70.32,7,ssss,0
20ssss8-0ssss-0ssss,3,ssss73.38,ssss4,ssss,0
20ssss8-0ssss-0ssss,3,ssss74.25,ssss6,ssss,0
20ssss8-0ssss-0ssss,3,ssss76.44,2ssss,ssss,0
20ssss8-0ssss-0ssss,3,ssss76.88,22,ssss,0
