arrival_date,room_blabla,price_per_night,lead_time,is_holiday,is_weekend
2018-01-01,1,429.09,3,1,0
2018-01-01,1,431.31,5,1,0
2018-01-01,1,454.69,26,1,0
2018-01-01,1,455.8,27,1,0
2018-01-01,1,459.14,30,1,0
2018-01-01,1,461.37,32,1,0
2018-01-01,1,463.59,34,1,0
2018-01-01,1,464.7,35,1,0
2018-01-01,1,466.93,37,1,0
2018-01-01,1,472.5,42,1,0
2018-01-01,1,481.4,50,1,0
2018-01-01,1,505.89,72,1,0
2018-01-01,1,532.6,96,1,0
2018-01-01,1,576.01,135,1,0
2018-01-01,2,279.42,8,1,0
2018-01-01,2,284.43,15,1,0
2018-01-01,2,285.86,17,1,0
2018-01-01,2,288.72,21,1,0
2018-01-01,2,289.44,22,1,0
2018-01-01,2,289.44,22,1,0
2018-01-01,2,289.44,22,1,0
2018-01-01,2,290.87,24,1,0
2018-01-01,2,299.45,36,1,0
2018-01-01,2,302.32,40,1,0
2018-01-01,2,309.47,50,1,0
2018-01-01,2,313.05,55,1,0
2018-01-01,2,317.34,61,1,0
2018-01-01,2,320.2,65,1,0
2018-01-01,2,322.35,68,1,0
2018-01-01,2,323.07,69,1,0
2018-01-01,2,325.93,73,1,0
2018-01-01,2,330.94,80,1,0
2018-01-01,2,354.55,113,1,0
2018-01-01,2,368.86,133,1,0
2018-01-01,3,169.44,5,1,0
2018-01-01,3,170.32,7,1,0
2018-01-01,3,173.38,14,1,0
2018-01-01,3,174.25,16,1,0
2018-01-01,3,176.44,21,1,0
2018-01-01,3,176.88,22,1,0
2018-01-01,3,179.5,28,1,0
2018-01-01,3,180.38,30,1,0
2018-01-01,3,183.0,36,1,0
2018-01-01,3,184.75,40,1,0
2018-01-01,3,185.19,41,1,0
2018-01-01,3,188.25,48,1,0
2018-01-01,3,190.0,52,1,0
2018-01-01,3,191.31,55,1,0
2018-01-01,3,193.06,59,1,0
2018-01-01,3,193.93,61,1,0
2018-01-01,3,200.93,77,1,0
2018-01-01,3,204.43,85,1,0
2018-01-01,3,208.8,95,1,0
2018-01-01,3,233.72,152,1,0
2018-01-02,1,321.51,26,0,0
2018-01-02,1,323.87,29,0,0
2018-01-02,1,324.66,30,0,0
2018-01-02,1,337.25,46,0,0
2018-01-02,1,338.83,48,0,0
2018-01-02,1,356.14,70,0,0
2018-01-02,1,356.93,71,0,0
2018-01-02,1,368.74,86,0,0
2018-01-02,1,374.25,93,0,0
2018-01-02,1,392.35,116,0,0
2018-01-02,2,196.06,5,0,0
2018-01-02,2,198.09,9,0,0
2018-01-02,2,200.11,13,0,0
2018-01-02,2,201.63,16,0,0
2018-01-02,2,202.13,17,0,0
2018-01-02,2,207.7,28,0,0
2018-01-02,2,208.71,30,0,0
2018-01-02,2,209.72,32,0,0
2018-01-02,2,217.31,47,0,0
2018-01-02,2,217.82,48,0,0
2018-01-02,2,219.84,52,0,0
2018-01-02,2,224.4,61,0,0
2018-01-02,2,229.45,71,0,0
2018-01-02,2,230.97,74,0,0
2018-01-02,2,235.02,82,0,0
2018-01-02,2,241.09,94,0,0
2018-01-02,2,252.73,117,0,0
2018-01-02,3,119.51,4,0,0
2018-01-02,3,120.12,6,0,0
2018-01-02,3,120.43,7,0,0
2018-01-02,3,121.67,11,0,0
